name;presentation;année de création;Chiffre d’affaires;Collaborateurs;siége;Activité;website;twitter;facebook;linkedin;skills
AUSY;"Ausy cybersécurité est un projet du Groupe Ausy dont l’ambition est d’être un partenaire de confiance pour tous les enjeux de la cybersécurité.

Présent sur les métiers de la cybersécurité depuis plus de 3 ans, nous nous positionnons aujourd’hui sur 6 grands domaines d’expertise :
- L’accompagnement sur la stratégie/gouvernance, conformité et la gestion des risques
- Les activités d’audit ou encore du Pentest
- L’accompagnement sur la mise en place et le renforcement des équipes SOC ou de réponse aux incidents
- La protection de l’intégrité des applications, des données et de l’infrastructure virtuelle hébergées dans le cloud (cloud public, privé, hybride, multi-clouds) et à tous les types de services et de solutions à la demande cloud (IaaS, PaaS, SaaS)  
- Le développement sécurisé de systèmes embarqués grâce à l’ADN historique de AUSY
- Le support sur les activités de maintien en conditions de sécurité au quotidien

Chez Ausy Cybersécurité les projets passionnants et à fort enjeux stratégiques proposés vous séduiront.
Du hacking à la gouvernance, sans oublier la gestion des incidents, l’occasion vous est donnée à vous, futur membre de notre équipe !  Relevez de nouveaux défis, développez et renouvelez vos connaissances par la variété des technologies utilisées et des besoins de nos clients. Nos superbes équipes IT vous attendent, profitez de cette proximité et avançons ensemble.

Vous êtes DevSecOps, Consultant sécurité, Analyste SOC, Pentester… alors, consultez nos offres dans l’onglet “demande” !  

Chez Ausy nous croyons au pouvoir de la technologie, nous croyons en une "" tech with personality "".";;;> 1 000;Sèvres, Île-de-France;ESN;https://www.ausy.fr;;;https://fr.linkedin.com/company/ausy;
MANAVA LTD;"Specialists of the Salesforce.com ecosystem (Salesforce Sales Cloud, Salesforce Service Cloud, Salesforce Community, Marketing Cloud, Pardot, FSL, Veeva) 

We help clients by providing the best expertise possible.

We cover the following products :

-> Salesforce Sales Cloud
-> Salesforce Service Cloud
-> Salesforce Consumer goods
-> Salesforce Field Service Lightning
-> Veeva
-> Salesforce Community Cloud
-> Salesforce Marketing Cloud / Pardot

Our Salesforce experts can help you with different types of engagements :

-> On-site or remote consultancy
-> Apex and Lightning web components development
-> On-demand expertise
-> Audit and full analysis of your platform and processes
-> Full cycle projects
-> Full support to users and maintenance of the platform

Our technical expertise :

-> Salesforce Administration
-> Salesforce development (Apex, Visualforce pages, Lightning components AURA or Lightning web components)
-> Salesforce classic and lightning expertise
-> API development / Third party integration
-> Data migration
-> ETL integration (Talend, Informatica, etc...)";;;< 20;;ESN;https://manavatech.com/;;;;
OTTEO;"OTTEO, société de conseil & cabinet de recrutement, c’est :

▶ Une PME d’une centaine de collaborateurs qui vous permettra d’intégrer une équipe jeune & dynamique, avec laquelle vous partagerez des moments conviviaux.
▶ Une proximité avec votre manager grâce à sa disponibilité, son écoute active et un suivi périodique. Il sera présent et réactif pour tout besoin !
▶ La prise en compte de vos souhaits, qu’il s’agisse de mobilité ou d’évolution de carrière.

Une diversité dans nos secteurs d’intervention : l’industrie de process, l’énergie, le transport, la grande distribution, la défense, la santé-pharma…

OTTEO c’est aussi :

▶ 3 offres : Consulting / Recrutement / Formation
▶ Une création en 2010
▶ 5 agences : Lille / Paris / Nantes / Lyon / Chambéry
▶ Des opportunités en France, et à l’international
▶ 4 certifications : ISO 9001 / ISO 14001 / ISO 45001 / EN 9100";2010;;100 - 249;Lille, Hauts-de-France;ESN;https://otteo.fr/;;;https://www.linkedin.com/company/otteo/mycompany/;Cybersécurité, MOE, Data mining, Big Data, Data, BI, MOA, Data science, DevOps, risk management, Gestion des risques
ON-X;"ON-X Groupe, cabinet de conseil français indépendant, accompagne les entreprises, administrations et collectivités dans leurs projets de transformation numérique, parmi lesquelles Total, la DGAC, EDF, RTE, Orange ou encore la Société Générale.

Depuis plus de 30 ans, ON-X Groupe a su anticiper les nombreuses transformations numériques en se positionnant sur des domaines innovants et complémentaires :

•	Infrastructure et Système d’Information
•	Territoires Numériques
•	Sécurité Numérique
•	Cloud
•	Blockchain
•	Réalité Virtuelle/Augmentée

Siégeant à Puteaux, le groupe couvre l’ensemble du territoire avec ses 4 agences à Toulouse, Lyon, Montbéliard et Laval.

L’entreprise emploie près de 200 collaborateurs qui participent activement à la croissance et à la réussite du groupe.";;16M;100 - 249;Puteaux, Île-de-France;Cabinet de conseil;https://www.on-x.com/;;;;
Shiftera;"Au croisement de la start-up factory et du cabinet de conseil, Shiftera est née de la volonté d’allier consulting, formation et incubation de marques digitales. Notre ambition ? Etre un acteur majeur du conseil et de l’innovation, pour particuliers et Organisations.  

Nous  positionnons des experts en project et product management freelances, pour accompagner nos clients en assistance technique, centre de compétences ou au forfait. 

A l’issu d’entretiens clients, la majorité de nos collaborateurs sont retenus pour des missions à moyen ou long terme (6 mois ou plus).
Des missions courtes sont également disponible, ponctuellement.";;;< 20;Conflans-Sainte-Honorine, Île-de-France;Cabinet de conseil;https://www.shiftera.fr;;;;
KODY;"Kody offre à ses clients des solutions innovantes et compétitives autour de 3 métiers.

Conseil et Transformation | Consultant MOA - Business Analyst - Project Manager - PMO - Coach Agile - Scrum Master - Product Owner - DevOps - Cloud Computing Engineer

Digital Experience | Technical lead - Fullstack Developer - Software Developer - Mobile Developer - UI-UX Designer - Web Designer
Java/ee, .NET, PHP, Angular, React, Vue, iOS, Android...

Data Intelligence | Lead Data - Data Engineer - Data Scientist - Data Analyst - BI Consultant
Python, R, Spark, Scala...";;;< 20;Noisy-le-Sec, Île-de-France;ESN;https://www.kody-it.com;;;https://www.linkedin.com/company/kody-it/?viewAsMe;
REVOLUTION DSI;"Cabinet conseil spécialisé dans les domaines suivants ;
DSI de transition, DSI à temps partagé, Recrutement de DSI, Coaching de DSI, Conduite du changement, Sécurité informatique, Cloud & Hyperconvergence, Virtualisation & Containerisation, Big data, Data protection & cybersécurité, Machine Learning,, Méthodologie & Qualité, Expertise métier Banque-Finance : Asset Management, Risk Management, Réglementaire, Intelligence Artificielle, Trading, Flux financiers temps réel.

REVOLUTION DSI MET À VOTRE DISPOSITION SES EXPERTS TECHNIQUES POUR RÉUSSIR LA DIGITALISATION DE VOTRE SYSTÈME D’INFORMATION.

Cette stratégie de transformation digitale s’appuie sur plusieurs axes :
Cloud & Hyperconvergence,
Virtualisation / Containerisation,
Big data,
Data protection & Cybersécurité,
Machine Learning / Intelligence Artificielle,
Méthodologies DevOps / Agile / Scrum / Kanban / Qualité ITIL,
Maitrise du métier du client.

REVOLUTION DSI peut intervenir sur plusieurs types de prestations :
Audit de votre Système d’Information,
Cartographie des risques et audit de sécurité informatique,
Définition et mise en oeuvre d’un Schéma Directeur Informatique,
Intérim de management,
Avant Vente et Aide à la réponse d’appel d’offres,
Assistance à la Maîtrise d’Ouvrage,
Expertise et assistance technique.

Cette stratégie de transformation digitale s’appuie sur une trés bonne connaissance des métiers clients :
Banque d’investissement,
Courtage financier,
Asset management,
Banque de détail,
Assurances,
Courtage d’assurance,
Industrie,
Commerce & distribution,
Secteur public.";2020;;< 20;Paris, France;Cabinet de conseil;https://www.revolution-dsi.com/;;;;Base de données, Business Intelligence, Business Object, Cybersécurité, Data mining, Déploiement, Digital, Migration, MOE, Réseaux, Risk Management, Support, Pilotage, Gestion des risques, Conception, Supervision, Gestion de projets, Windows Server, Business Analyst, pmo, Direction de projet, Finance, Devops, Organisation, Virtualisation, Azure, Programmation, Conduite du changement, vuejs, MOA, AUDIT, Data, infrastructure, serveur, Machine Learning, bi, Management, VPN, VMWare, UNIX, microsoft, Big Data, Data science, Telecom, Cloud, Architecture, Windows, Angular, AWS, Linux, XML, reseau, Microsoft Windows, AWS Cloud, Vue.js, gestion de projet
AXENCIA GROUP;"For many companies, technology and innovation are major differentiators from the competition.
In this context, IRAE Group deploys a range of skills and know-how that put R&D at the service of strategy";;;20 - 99;Paris, France;ESN;https://www.irae-group.eu/;;;;
Poulpex;"Le portage salarial est la solution alternative à la création d’entreprise vous permettant d’effectuer des missions ponctuelles en toute sécurité. Vous êtes indépendant tout en bénéficiant du statut et des avantages du salarié : chômage, retraite, protection sociale, mutuelle et prévoyance.

Avec CEGELEM, n’ayez plus que votre réussite en tête !";2018;80 000 000;> 1 000;Paris, France;Société de portage;https://www.cegelem.fr/;https://twitter.com/cegelem;https://www.facebook.com/cegelem/;https://www.linkedin.com/company/cegelem-sas/;
Yzee Services;;;;> 1 000;Vendin-le-Vieil, Hauts-de-France;DSI / Client final;;;;;
Willcome;"Willcome est une jeune entreprise qui a envie de casser les codes. Nous sommes très attachés au bien être de nos collaborateurs et nous cherchons un épanouissement commun au quotidien.

Nous travaillons en flex office, télétravail First avec possibilité de se retrouver dans nos locaux ou locaux 100% si vous préférez, c'est vous qui choisissez. 

Indépendant ou salarié, nous nous adaptons à votre souhait !

Les dirigeants sont tous issus de la technique et avons occupé au cours de notre carrière l'ensemble des postes que nous proposons. Développeur, chef de projet, consultant, business developer, ...";2021;;< 20;Nantes, Pays de la Loire;Agence WEB / Communication;https://willcome.fr/;;;https://www.linkedin.com/company/willcome/;
KI ANALYTICS;Studio spécialisé en analytique et design graphique depuis 2012. Passionnés de datavisualisation, nous concevons des solutions analytiques complètes et innovantes ainsi que tous supports de communications visuels.;2012;1,2M€;< 20;Aix-en-Provence, Provence-Alpes-Côte d'Azur;Cabinet de conseil;https://www.ki-analytics.com/;;;;BI, Big Data, Business Analyst, Business Intelligence, Business Object, Data science, Design, Formation, MOA, MOE, Reporting, SAP, UX design, Ui design, Microsoft Power BI
CAHETEL CONSULTING;"Société de conseil spécialisée dans les métiers de l’IT, de l’ingénierie et du digital, Cahetel Consulting privilégie une approche qui allie performance et bien-être au travail. Nous accompagnons et conseillons nos clients afin d’assurer pour nos utilisateurs la disponibilité des applications métiers et le meilleur niveau de service. 

Nous mettons une équipe dédiée à la gestion et au suivi de nos consultants, et accompagnons les clients dans l’évolution de leur système d’information en proposant des services intégrant le conseil, la gestion de projet, le déploiement, le maintien en condition opérationnelle ainsi que l’assistance aux utilisateurs. 

Ouvert aux entreprises de toutes tailles et du secteur de l’IT, et trouver rapidement les meilleurs prestations disponibles.
Nous accompagnons également nos clients pour la contractualisation avec le prestataire, en s’assurant de leur conformité. Le suivi de la prestation se fait en ligne ; et à la soumission du comte rendu d’activités (CRA), une facture est émise. 

Cahetel Consulting veut se démarquer par son approche et sa capacité à proposer des services à forte valeur ajoutée dans un large panel de secteurs d’activité, en tenant compte des normes et caractéristiques propres à chacun d’entre eux : 

•TÉLÉCOMMUNICATIONS •BANQUE, FINANCE, ASSURANCE •DISTRIBUTION (E-COMMERCE) •INDUSTRIE / BTP •SANTÉ •TRANSPORT •MÉDIAS •SERVICE PUBLIC";2022;;< 20;Persan, Île-de-France;Sourcing / chasseur de têtes;https://cahetel-consulting.com;;;;
CAPGEMINI-APPS;"Capgemini est un leader mondial, responsable et multiculturel, regroupant 340 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 18 milliards d'euros en 2021.
Get The Future You Want* | www.capgemini.com

*Capgemini, le futur que vous voulez";;;> 1 000;Paris, France;ESN;https://www.capgemini.com/fr-fr/;;;https://www.linkedin.com/company/capgemini;
IBITEAM;"Nous sommes une ESN, spécialisée dans les nouvelles technologies autour de la data :

- Transformation digitale
- Business Intelligence
- Intégration, migration et analyse de données
- Echanges de données informatisées";;;< 20;Mantes-la-Jolie, Île-de-France;ESN;https://ibiteam.com;;;;
Balder Solutions;"BALDER SOLUTIONS est une ESN spécialisée dans toutes les problématiques de traitement de la Data, d’ERP, de CRM, de SIG, de dématérialisation, de Smart City et de réalité virtuelle. 

Nous accompagnons nos clients depuis la phase de cadrage jusqu’au déploiement auprès des équipes métiers et intervenons dans les domaines de l'énergie, des utilities, de l'industrie, de la banque, de l'assurance et de la santé.";;;< 20;Paris, France;ESN;https://www.baldersolutions.fr/;;;https://www.linkedin.com/company/balder-solutions/;
PLATINIUM GROUP;"Welcome to Platinium Group – one of the fastest growing companies in the ticketing industry. We offer world-class solutions to B2B clients and outstanding sport experiences to consumers all over the world for events in Formula One, MotoGP, Tennis, Motocross, Rugby etc.

We operate out of offices in Monaco, Milan, Paris, Shanghai and Barcelona and our mission is to help our clients succeed by maximizing the results of each event and provide the best product experience for consumers.
Our cutting-edge solutions provide ticketing, CRM, logistics and digital marketing services to many Event Organizers around the world. We also focus on providing first-class experiences to sport fans through our own Brands – Gootickets.com & Gpexperiences.com

PG is always looking for smart engaged people who think differently and want to change the world! We hire a multitude of profiles and personalities in the numerous fields we operate in and truly value the importance of team work. Dynamism and creativity fuel our growth and passion.";;;100 - 249;Hem-Monacu, Hauts-de-France;DSI / Client final;https://www.pg-mc.com;;;;DevOps, Docker, Symfony
Typology;"Typology is the first skincare brand launched by Good Brands, an ambitious project to build a new generation of digital first consumer brands. Founded by serial entrepreneur Ning Li, Typology was launched in 2019 after a seed funding round of 10M$, backed by European investors and entrepreneurs such as Xavier Niel, Marc Simoncini, Alven, Firstminute capital.

OUR TECHNICAL STACK

Design & frontend: JAM stacked based on Gridsome (Vue.js, GraphQL), TailwindCSS
Backend: Node.js , Typescript, GraphQL, Headless CMS (StoryBlok), Headless Shopify, AWS, GCP, ERP built on a open source platform
Data: AirByte+DBT, Redis, DynamoDB, BigQuery
Other: Gitlab CI, LambdaTest / Selenium grid";;;20 - 99;Paris, France;Start-up;https://www.typology.com/;;;https://www.linkedin.com/company/typology/;Javascript, Node.js, UX design, Ui design
Digital Business Works;"Digital Business Works offre un ensemble de prestations dédiée à la transformation numérique des organisations.

Avec plus d'une cinquantaine de références dans le domaine de la facture électronique, des plateformes B2B et des ERP nous nous positionnons sur:
- le conseil en intégration de plateforme B2B et d'ERP
- la gestion de projets
- l'organisation du support
- l'édition logicielle d'apps

Pour plus d'informations, nous vous invitons à consulter notre site : www.digital-business-works.com";2017;;< 20;Paris, France;Cabinet de conseil;https://www.digital-business-works.com;;https://www.facebook.com/search/top?q=digital%20bu;https://www.linkedin.com/company/26019134/admin/;MOE, Monitoring, Business Analyst, Programmation, Digital, Data mining, Google Cloud Platform, MOA, Business Intelligence, API, Data science, SAP, Big Data, Web, Api Rest, DevOps, UML, Gestion de projets, ERP, XML, mysql, Symfony, PHP, Windows, NodeJS, Jquery, Python, R, SQL, R (langage), Microsoft Windows, Node.js
